,A-F-F,L-F-F,I-Y-F,Y-T-F,Total of All 4 Types of 3-mers,label
s1375.structure.final,9.996107588,17.48629033,4.314664538,9.884262339,41.6813248,1
s639.structure.final,12.31847848,15.10604211,2.343268271,12.1994708,41.96725966,1
s1545.structure.final,10.96305609,15.24463189,4.580772014,8.442547261,39.23100725,1
s948.structure.final,10.1805935,12.71595056,2.954645988,9.245533404,35.09672345,1
s454.structure.final,11.9758168,14.14276737,2.181802384,8.873100837,37.17348739,1
s568.structure.final,14.4436634,16.75525301,2.127895911,9.472411129,42.79922345,1
s548.structure.final,4.634662003,10.74097032,1.479948196,17.88003232,34.73561284,1
s699.structure.final,9.663301034,13.14835925,3.298387753,7.984284667,34.09433271,1
s810.structure.final,18.95276555,9.853860464,3.408729979,12.8833676,45.09872359,1
s452.structure.final,8.733650954,13.76674074,1.378980098,6.523398969,30.40277076,1
s1693.structure.final,11.63133664,12.01159081,2.184564826,8.878796065,34.70628835,1
s18.structure.final,13.71663092,10.51464988,1.602508685,4.941124674,30.77491416,1
s39.structure.final,11.13403214,17.35650469,2.201508259,4.801578771,35.49362386,1
s22.structure.final,11.21497743,11.64985529,3.056527318,11.03318869,36.95454873,1
