,A-F-F,L-F-F,I-Y-F,Y-T-F,Total of All 4 Types of 3-mers,label
F_28_B_D1900433672.structure.final,11.74512728,10.54189951,2.196695111,14.83816821,39.32189011,0
M_26_B_D1900641436.structure.final,13.12707775,12.11127939,2.333366749,9.368201166,36.93992506,0
F_24_B_D1900416976.structure.final,13.74199726,11.2284085,2.157566194,9.053101138,36.18107309,0
F_26_B_D1900641463.structure.final,14.72306339,11.42372581,2.829869392,10.50777368,39.48443228,0
F_23_B_D1900496330.structure.final,16.16459278,12.57805251,1.899452859,7.948470259,38.59056841,0
N_N_B_D1900640305.structure.final,13.04922589,10.94112158,2.458158996,10.35872139,36.80722786,0
F_21_B_D1900416965.structure.final,12.6467904,11.69908023,2.496956304,8.092469192,34.93529613,0
F_25_B_D1900585099.structure.final,12.61151801,16.45355707,1.741043786,6.695478963,37.50159783,0
F_23_B_D1900585119.structure.final,12.67276645,16.12636781,2.586811045,12.10846613,43.49441143,0
M_45_B_D1900497942.structure.final,13.02081451,10.08941931,1.447780822,10.01863447,34.57664911,0
M_32_B_D1900579272.structure.final,12.48416638,13.32361563,2.021460972,8.225778843,36.05502182,0
N_N_B_D1900638462.structure.final,11.47627183,11.77508622,2.324111967,9.819555888,35.3950259,0
F_32_B_D1900435142.structure.final,12.79383756,11.72104551,1.556267091,6.771791594,32.84294176,0
M_32_B_D1900583792.structure.final,13.20121754,12.3587385,5.052885062,4.517520834,35.13036193,0
N_N_B_D1900425868.structure.final,13.08641447,11.60502608,2.033265953,9.596760393,36.3214669,0
F_30_B_D1900427014.structure.final,12.35827811,12.83546816,3.114299912,16.52006269,44.82810887,0
F_28_B_D1900490089.structure.final,11.03107806,10.01163272,3.62775004,9.307340254,33.97780107,0
F_29_B_D1900643023.structure.final,16.35083063,10.86036807,2.389769172,7.996151981,37.59711985,0
F_22_B_D1900639789.structure.final,16.16099976,10.13901766,2.921618539,11.05016211,40.27179807,0
N_N_B_D1900497197.structure.final,11.53036045,10.4611351,2.776394642,8.138715079,32.90660527,0
F_26_B_D1900639186.structure.final,12.31469026,8.823864995,2.33661602,10.6612103,34.13638157,0
M_27_B_D1900490068.structure.final,12.97457268,10.90043161,2.346789243,8.455928652,34.67772219,0
F_31_B_D1900586015.structure.final,11.84140295,11.98723314,1.651962339,8.772903485,34.25350192,0
M_36_B_D1900636655.structure.final,7.731670249,14.49588571,1.561194656,6.045871367,29.83462199,0
M_27_B_D1900579262.structure.final,12.98208998,9.583507347,1.927046968,8.495215567,32.98785987,0
F_32_B_D1900636694.structure.final,12.68139595,11.71935487,2.007743697,7.975300496,34.38379501,0
F_23_B_D1900583800.structure.final,12.7351616,11.29155925,2.808513544,9.770817845,36.60605223,0
M_40_B_D1900585162.structure.final,10.5564868,11.0920814,1.964251775,9.82461706,33.43743703,0
F_27_B_D1900493349.structure.final,9.101222218,8.815406616,1.528061607,7.140009289,26.58469973,0
N_N_B_D1900497195.structure.final,13.29233112,9.372871936,1.563412799,7.077395559,31.30601141,0
F_27_B_D1900636942.structure.final,12.20434875,9.425069969,2.011909528,11.36593344,35.00726169,0
M_26_B_D1900416963.structure.final,11.78005695,11.72951029,2.540026725,8.056210074,34.10580404,0
F_30_B_D1900640304.structure.final,15.56915946,9.495484674,2.197642672,8.001245353,35.26353216,0
M_27_B_D1900584474.structure.final,17.58389403,9.166345023,1.50932706,5.53499378,33.79455989,0
M_44_B_D1900641697.structure.final,14.49766661,10.89462043,2.521484268,8.105966682,36.01973798,0
M_25_B_D1900435163.structure.final,13.26246648,9.276724724,2.468586599,12.20693759,37.2147154,0
M_36_B_D1900494801.structure.final,11.92556795,8.693383709,1.755761506,4.92317321,27.29788638,0
F_25_B_D1900585760.structure.final,12.74804062,12.48112728,2.832436388,8.929205659,36.99080995,0
M_27_B_D1900489444.structure.final,11.91844569,11.29023215,2.317477384,6.96852666,32.49468189,0
F_34_B_D1900588179.structure.final,11.9963275,12.06166944,2.012245652,11.11391318,37.18415577,0
F_47_B_D1900639118.structure.final,11.40248377,10.41398932,2.146206,12.56939643,36.53207552,0
N_N_B_D1900497184.structure.final,10.85673135,10.45245334,1.699217336,10.96124532,33.96964735,0
M_33_B_D1900636991.structure.final,11.75683422,9.184352538,1.894981744,13.12749828,35.96366678,0
M_28_B_D1900584452.structure.final,12.36241945,9.998207927,2.144176153,7.572676344,32.07747988,0
M_24_B_D1900641426.structure.final,13.00853553,8.747870687,1.889575494,13.0582649,36.70424661,0
F_26_B_D1900435747.structure.final,11.70426673,12.1587001,1.960231727,9.319579454,35.142778,0
M_25_B_D1900435170.structure.final,11.75592459,10.31254934,2.305908572,9.929667375,34.30404988,0
M_26_B_D1900639159.structure.final,13.21299124,11.47428561,2.212651739,11.36179613,38.26172473,0
F_28_B_D1900588138.structure.final,12.87678206,10.81673703,2.436279362,9.674528492,35.80432693,0
N_N_B_D1900636620.structure.final,10.84719356,13.8000083,2.062237453,7.096515276,33.80595459,0
M_26_B_D1900493333.structure.final,12.53346516,10.83276802,1.709132122,8.170022682,33.24538798,0
N_N_B_D1900579142.structure.final,11.83809832,10.6051065,1.949663886,9.606331498,33.99920021,0
M_24_B_D1900647126.structure.final,16.55519574,11.63538991,2.214123112,8.561458457,38.96616721,0
F_28_B_D1900636978.structure.final,10.78512857,13.76702915,2.034443691,10.18794749,36.77454891,0
M_33_B_D1900581487.structure.final,11.04397242,9.22081291,1.872147396,9.223705895,31.36063862,0
M_28_B_D1900579219.structure.final,12.59635672,9.853463725,2.877584829,9.85180308,35.17920836,0
M_40_B_D1900641654.structure.final,12.40658075,10.67788706,2.073908444,10.92721147,36.08558772,0
M_25_B_D1900641689.structure.final,12.57071675,9.313781186,2.392889268,10.16220471,34.43959191,0
F_26_B_D1900427174.structure.final,14.28451593,11.58433048,2.138934999,9.471468976,37.47925038,0
F_25_B_D1900579344.structure.final,9.130511074,14.2493369,1.892984596,14.78431211,40.05714467,0
M_39_B_D1900579180.structure.final,11.93549548,11.15510293,2.533208741,8.874678785,34.49848594,0
F_23_B_D1900586017.structure.final,14.69506718,11.92296117,2.612574945,8.06249489,37.29309818,0
F_30_B_D1900590822.structure.final,9.316940752,8.773617817,1.180928978,6.23870408,25.51019163,0
F_26_B_D1900583893.structure.final,13.91727643,11.58498493,2.983547948,11.74084699,40.2266563,0
F_22_B_D1900580780.structure.final,13.54982058,9.964269844,1.866650227,6.727081712,32.10782236,0
M_30_B_D1900497780.structure.final,12.92882851,11.38598628,2.586341461,8.979953351,35.8811096,0
F_32_B_D1900493361.structure.final,16.81355913,9.937162856,1.91578633,8.926443435,37.59295175,0
F_30_B_D1900638459.structure.final,11.27600121,8.730491087,6.368443632,9.467887335,35.84282327,0
F_23_B_D1900640308.structure.final,10.97254313,10.96323125,2.56408403,9.158512038,33.65837045,0
M_25_B_D1900579125.structure.final,9.580904483,11.29669691,1.155186434,5.510600027,27.54338785,0
N_N_B_D1900435766.structure.final,12.61746979,7.208670445,2.552035282,11.24666199,33.62483751,0
N_N_B_D1900425806.structure.final,10.93007972,11.90957139,2.094857611,8.469552887,33.40406161,0
M_24_B_D1900583918.structure.final,9.770972429,12.57774368,1.596282451,6.421478205,30.36647676,0
M_24_B_D1900641255.structure.final,12.54950207,15.00682719,1.83134532,5.398435497,34.78611008,0
F_28_B_D1900580629.structure.final,12.0217888,11.62275803,1.779759774,7.254411721,32.67871833,0
F_29_B_D1900583894.structure.final,15.09252797,8.970332383,2.241613092,8.621286374,34.92575982,0
N_N_B_D1900435108.structure.final,11.04648403,11.75758628,2.369385694,8.687063259,33.86051926,0
F_30_B_D1900640355.structure.final,10.72675992,7.76782134,1.206507343,8.024244233,27.72533284,0
N_N_B_D1900433479.structure.final,11.04625871,12.24148631,1.743772065,6.064680083,31.09619717,0
F_35_B_D1900591182.structure.final,15.71167915,9.00988029,1.898059615,8.004891899,34.62451096,0
N_N_B_D1900427067.structure.final,9.446773155,10.60763587,1.756570517,10.61375378,32.42473332,0
M_32_B_D1900435782.structure.final,8.960578137,9.40143284,1.288456008,7.208712069,26.85917906,0
F_25_B_D1900639185.structure.final,12.87638105,11.93693785,2.21106206,9.5296604,36.55404136,0
M_29_B_D1900586088.structure.final,7.690517616,10.79253774,1.925420415,6.003464625,26.4119404,0
M_29_B_D1900493301.structure.final,13.02081247,8.469304393,1.707403495,10.27871687,33.47623723,0
F_31_B_D1900578554.structure.final,15.92304919,10.04191581,2.389989784,9.636804784,37.99175956,0
M_24_B_D1900497941.structure.final,10.36639032,12.57718664,1.9352658,6.75890885,31.63775161,0
F_26_B_D1900495534.structure.final,12.96329408,10.05191114,1.891449387,8.824601814,33.73125642,0
M_36_B_D1900589931.structure.final,9.371976798,11.07957101,1.326990867,9.020576109,30.79911479,0
F_29_B_D1900641281.structure.final,9.910773104,11.13133795,2.267891734,10.01991362,33.32991641,0
M_27_B_D1900588176.structure.final,10.56511805,11.85973947,1.955284626,10.9140235,35.29416564,0
M_25_B_D1900643062.structure.final,11.31223119,9.906219328,1.806240474,9.7517635,32.77645449,0
M_27_B_D1900581302.structure.final,12.90673223,9.703239225,2.492440371,10.03142742,35.13383925,0
F_22_B_D1900641418.structure.final,11.9942844,9.51098552,2.460777853,8.201150706,32.16719848,0
M_24_B_D1900489464.structure.final,13.63130332,10.79342057,2.085259809,8.128623004,34.63860671,0
M_45_B_D1900497951.structure.final,10.02178304,10.37863465,2.358555621,9.060359629,31.81933294,0
F_26_B_D1900578550.structure.final,12.12754611,10.29008503,2.407914844,7.928378156,32.75392414,0
M_26_B_D1900490696.structure.final,12.69442986,10.23279362,2.27782646,8.494100532,33.69915047,0
F_26_B_D1900640317.structure.final,11.90305421,11.71770708,2.310056383,8.749425771,34.68024344,0
M_24_B_D1900497955.structure.final,9.70849063,11.33192084,1.722093152,7.144060851,29.90656548,0
F_35_B_D1900581337.structure.final,9.49422253,11.84214571,1.877175152,7.586354644,30.79989804,0
F_25_B_D1900586863.structure.final,11.07488348,19.40276169,3.109514671,10.27983394,43.86699379,0
F_26_B_D1900639771.structure.final,11.38124206,11.57302877,2.788359282,8.17655141,33.91918152,0
M_26_B_D1900636615.structure.final,11.81501493,9.296613539,2.205648034,10.05047131,33.36774782,0
M_25_B_D1900636653.structure.final,8.237926194,15.88164457,1.495786411,8.523373127,34.13873031,0
F_25_B_D1900641606.structure.final,9.828119308,11.88292883,1.971169144,6.758673006,30.44089029,0
M_39_B_D1900494863.structure.final,12.72227686,10.81012463,2.426393133,9.768948472,35.72774309,0
F_33_B_D1900425863.structure.final,10.92951911,13.14944216,2.257790069,8.478118669,34.81487001,0
M_26_B_D1900579235.structure.final,10.52352506,9.966180332,2.10268263,9.978841464,32.57122949,0
M_26_B_D1900584497.structure.final,13.42881856,10.6108843,2.520823371,11.87423981,38.43476604,0
M_34_B_D1900488806.structure.final,9.994166749,13.64706313,1.843032925,6.813923857,32.29818666,0
M_36_B_D1900578576.structure.final,10.38608664,11.15243464,1.945643661,7.338170474,30.82233542,0
M_32_B_D1900579241.structure.final,11.7264606,11.61111163,1.962404838,8.284706207,33.58468327,0
F_28_B_D1900497938.structure.final,15.51327238,10.56508059,2.888382723,12.04088959,41.00762528,0
F_24_B_D1900586076.structure.final,11.65148131,11.80372279,2.505521507,8.393147928,34.35387353,0
M_28_B_D1900488863.structure.final,11.95490415,10.60152822,1.750375912,7.181987138,31.48879542,0
F_28_B_D1900427076.structure.final,10.07294118,10.0246084,1.635387284,6.052600097,27.78553697,0
F_30_B_D1900435773.structure.final,12.31344891,10.72573695,2.12265227,7.355017362,32.5168555,0
N_N_B_D1900426911.structure.final,8.708207939,10.00100917,1.824402725,7.038530642,27.57215048,0
M_36_B_D1900636688.structure.final,9.666015249,10.0625391,1.746635793,7.020532351,28.49572249,0
F_24_B_D1900639720.structure.final,10.22872325,9.962137029,1.876208294,5.517844485,27.58491306,0
F_26_B_D1900578536.structure.final,11.97259475,9.701836114,2.21560414,8.54451859,32.4345536,0
F_29_B_D1900591157.structure.final,11.73208037,11.59465936,2.348088572,8.897821037,34.57264934,0
M_26_B_D1900492282.structure.final,10.68833803,10.09910841,1.950032744,7.181849683,29.91932886,0
F_42_B_D1900435764.structure.final,14.49506871,9.863393523,3.022773443,9.625512408,37.00674808,0
M_22_B_D1900579243.structure.final,11.20204037,11.63969977,1.973242002,8.320367267,33.13534941,0
F_42_B_D1900640363.structure.final,10.19141942,12.19610559,1.690844799,6.573298315,30.65166812,0
M_31_B_D1900495171.structure.final,9.533437648,9.963396026,2.197354729,9.507860488,31.20204889,0
N_N_B_D1900583931.structure.final,6.891810639,9.01908783,1.520271264,7.710989321,25.14215905,0
F_28_B_D1900590179.structure.final,11.48209692,9.844928455,2.084329437,7.977502734,31.38885755,0
F_27_B_D1900426999.structure.final,11.64584087,12.29572715,2.849008553,8.597078515,35.38765508,0
F_29_B_D1900591133.structure.final,9.185589979,10.87454612,1.706445736,7.995907122,29.76248896,0
F_26_B_D1900416998.structure.final,9.255474137,10.58677525,1.87272787,7.625907751,29.34088501,0
M_26_B_D1900585767.structure.final,10.84985734,12.6589609,1.760764061,7.804075553,33.07365786,0
F_30_B_D1900639739.structure.final,11.65139309,11.3637804,2.428100197,4.500044272,29.94331796,0
M_28_B_D1900583734.structure.final,11.38720336,10.40635112,1.51533394,7.582894944,30.89178336,0
M_24_B_D1900436976.structure.final,12.13700947,9.678034212,1.877122056,8.936857313,32.62902305,0
N_N_B_D1900433605.structure.final,9.332525839,10.06907086,2.085088709,8.992538107,30.47922352,0
N_N_B_D1900433498.structure.final,9.754094221,11.10939286,2.566524852,6.723523072,30.153535,0
M_33_B_D1900425857.structure.final,5.985714475,10.61584623,1.731103697,6.285763598,24.618428,0
M_23_B_D1900436969.structure.final,11.22051419,13.55714046,2.563622744,7.91965464,35.26093204,0
F_32_B_D1900436973.structure.final,8.206643241,10.17711959,1.815573462,6.623935799,26.82327209,0
M_32_B_D1900494652.structure.final,11.74202779,9.734543954,1.121694869,5.928573394,28.52684001,0
F_29_B_D1900584424.structure.final,10.32448204,10.01136243,1.81643063,9.187859972,31.34013507,0
F_29_B_D1900638453.structure.final,10.50804762,11.10473807,2.111855151,7.601210558,31.3258514,0
F_34_B_D1900435754.structure.final,15.48664375,8.399173481,2.488248354,7.727185286,34.10125087,0
M_27_B_D1900590117.structure.final,10.7008218,11.32229859,1.904395412,7.563031442,31.49054724,0
F_27_B_D1900496311.structure.final,8.104685212,10.06858277,1.63028227,7.799865487,27.60341574,0
F_24_B_D1900586873.structure.final,9.100470745,9.402399703,1.738045509,6.8183452,27.05926116,0
M_25_B_D1900640393.structure.final,11.29757781,11.85804414,2.020123552,9.502280536,34.67802603,0
M_24_B_D1900583756.structure.final,9.131810643,13.02136392,1.752176502,7.719655697,31.62500677,0
N_N_B_D1900643015.structure.final,9.475232877,10.02199149,2.069325563,7.412221397,28.97877133,0
F_29_B_D1900588199.structure.final,13.81714083,7.66409084,2.261564179,7.120570664,30.86336651,0
M_26_B_D1900579338.structure.final,10.89442084,9.531741318,2.190210215,9.09106853,31.7074409,0
M_29_B_D1900578510.structure.final,8.059632984,11.72444581,2.111372751,8.100503334,29.99595488,0
F_23_B_D1900490028.structure.final,10.94998505,10.13368705,1.817269592,12.50179187,35.40273356,0
M_55_B_D1900652885.structure.final,11.81967005,10.89281424,1.790878741,6.341704703,30.84506774,0
M_26_B_D1900427089.structure.final,9.292380963,8.290788068,1.719756969,8.395062645,27.69798865,0
M_24_B_D1900435172.structure.final,12.92009052,9.904503033,1.452382407,7.839905243,32.1168812,0
M_31_B_D1900639782.structure.final,8.156903964,9.908427052,2.494175943,7.168967215,27.72847417,0
