,A-F-F,L-F-F,I-Y-F,Y-T-F,Total of All 4 Types of 3-mers,label
M_28_B_D1900497917.structure.final,19.3645609,9.660259142,1.646253959,10.50480852,41.17588252,0
M_31_B_D1900580697.structure.final,12.51231882,24.46349136,2.152673501,7.427492379,46.55597606,0
M_25_B_D1900578516.structure.final,15.24616453,9.900892564,2.910978534,7.462022329,35.52005796,0
M_23_B_D1900578540.structure.final,8.736478707,7.595572838,1.533032341,19.02308736,36.88817125,0
F_29_B_D1900584462.structure.final,11.43846462,10.78907598,2.152947738,19.13029352,43.51078186,0
N_N_B_D1900425897.structure.final,17.90289913,16.27418031,1.977240671,7.119110309,43.27343042,0
N_N_B_D1900435749.structure.final,28.3631399,8.717993523,1.768225667,5.386739655,44.23609875,0
F_25_B_D1900580706.structure.final,17.84909954,12.52611905,4.862173647,11.37901684,46.61640908,0
F_27_B_D1900427025.structure.final,14.57254075,12.94229479,2.16995186,12.0786804,41.7634678,0
M_61_B_D1900581365.structure.final,8.570861637,19.91874087,1.689800489,5.096251797,35.27565479,0
F_30_B_D1900497915.structure.final,10.41702322,10.20366413,1.920980294,6.309661085,28.85132873,0
F_34_B_D1900641673.structure.final,14.37488149,11.01297948,2.769081022,11.40966114,39.56660313,0
M_26_B_D1900583768.structure.final,17.47903466,10.56687887,1.878683394,10.95187985,40.87647678,0
M_35_B_D1900634481.structure.final,12.39988669,9.588280954,1.63973838,13.08333621,36.71124223,0
M_29_B_D1900636971.structure.final,13.40975206,9.373909725,1.628557322,13.66912102,38.08134013,0
M_27_B_D1900492211.structure.final,11.36376073,19.16681067,2.444847647,10.25567364,43.23109268,0
M_30_B_D1900435173.structure.final,9.987215,10.86328813,9.523729622,8.880238156,39.2544709,0
M_29_B_D1900641258.structure.final,9.373677823,7.664366788,1.558132868,10.79465155,29.39082903,0
F_24_B_D1900497120.structure.final,16.76927375,8.999949926,2.936556672,13.19157656,41.8973569,0
F_30_B_D1900591176.structure.final,15.13556995,9.86582446,9.107623408,12.74214768,46.8511655,0
F_25_B_D1900435760.structure.final,12.71124695,8.766520585,8.768119789,10.33949837,40.5853857,0
M_61_B_D1900591105.structure.final,7.848737568,20.86387969,1.435342396,5.48880851,35.63676817,0
M_29_B_D1900643012.structure.final,12.44612174,10.1012988,2.065192827,10.22007385,34.83268722,0
F_25_B_D1900493323.structure.final,13.60082521,9.054624301,3.875544702,10.59347448,37.12446869,0
F_24_B_D1900490026.structure.final,9.480157048,12.47930923,1.521339248,6.527874503,30.00868003,0
F_24_B_D1900433487.structure.final,20.93252443,10.73030097,1.900209026,9.086443161,42.64947759,0
M_25_B_D1900583922.structure.final,9.100613981,8.707270152,1.51177253,12.0137493,31.33340596,0
M_29_B_D1900636952.structure.final,15.79187284,12.05713476,2.246950095,10.17579291,40.2717506,0
M_24_B_D1900584461.structure.final,14.40364079,11.40297036,2.373482333,10.54066599,38.72075947,0
F_26_B_D1900586060.structure.final,13.92582263,9.60689425,2.064042408,9.664307243,35.26106653,0
F_22_B_D1900416038.structure.final,13.94293118,13.53529678,3.038051611,12.0216029,42.53788248,0
M_44_B_D1900416959.structure.final,8.142697199,19.35684906,2.383519346,11.0260103,40.90907591,0
M_26_B_D1900580724.structure.final,9.089823785,16.07270346,1.907006047,6.744762486,33.81429578,0
N_N_B_D1900492991.structure.final,11.29675685,9.47856513,2.1694223,8.814961466,31.75970575,0
F_24_B_D1900583788.structure.final,13.80166151,11.13027573,2.931165633,10.72959339,38.59269626,0
M_28_B_D1900590165.structure.final,14.13873637,10.14795972,3.651857517,11.10207259,39.0406262,0
N_N_B_D1900634465.structure.final,13.67707951,11.13933067,2.594602078,9.554361697,36.96537395,0
M_65_B_D1900641267.structure.final,7.457775274,10.04955274,2.162566409,5.576596964,25.24649139,0
F_27_B_D1900588164.structure.final,12.39521077,12.1980849,2.354740669,13.22730632,40.17534266,0
F_27_B_D1900581316.structure.final,16.01597801,12.7170199,2.414923581,10.33858238,41.48650387,0
